,0
0,2.0
1,6.0
2,5.0
3,2.0
4,2.0
5,0.0
6,1.0
7,2.0
8,2.0
9,3.0
10,5.0
11,2.0
12,8.0
13,1.0
14,0.0
15,0.0
16,0.0
17,7.0
18,2.0
19,2.0
20,0.0
21,7.0
22,3.0
23,4.0
24,4.0
25,2.0
26,1.0
27,6.0
28,3.0
29,7.0
30,1.0
31,0.0
32,2.0
33,0.0
34,8.0
35,3.0
36,2.0
37,2.0
38,5.0
39,2.0
40,8.0
41,4.0
42,4.0
43,7.0
44,7.0
45,1.0
46,2.0
47,2.0
48,4.0
49,3.0
50,2.0
51,3.0
52,1.0
53,4.0
54,7.0
55,0.0
56,0.0
57,6.0
58,3.0
59,5.0
60,0.0
61,0.0
62,2.0
63,2.0
64,2.0
65,3.0
66,0.0
67,5.0
68,3.0
69,2.0
70,3.0
71,8.0
72,7.0
73,5.0
74,1.0
75,0.0
76,0.0
77,4.0
78,6.0
79,5.0
80,4.0
81,2.0
82,0.0
83,5.0
84,2.0
85,0.0
86,2.0
87,7.0
88,6.0
89,0.0
90,0.0
91,3.0
92,7.0
93,2.0
94,2.0
95,6.0
96,2.0
97,0.0
98,2.0
99,3.0
100,7.0
101,7.0
102,2.0
103,0.0
104,6.0
105,3.0
106,2.0
107,7.0
108,4.0
109,0.0
110,3.0
111,7.0
112,0.0
113,1.0
114,1.0
115,3.0
116,1.0
117,1.0
118,7.0
119,2.0
120,3.0
121,2.0
122,3.0
123,3.0
124,7.0
125,4.0
126,0.0
127,4.0
128,2.0
129,4.0
130,0.0
131,0.0
132,4.0
133,7.0
134,7.0
135,6.0
136,5.0
137,8.0
138,2.0
139,3.0
140,1.0
141,2.0
142,5.0
143,3.0
144,2.0
145,5.0
146,3.0
147,3.0
148,2.0
149,1.0
150,0.0
151,4.0
152,7.0
153,4.0
154,7.0
155,1.0
156,3.0
157,3.0
158,8.0
159,2.0
160,0.0
161,0.0
162,4.0
163,8.0
164,2.0
165,1.0
166,7.0
167,4.0
168,6.0
169,0.0
170,4.0
171,4.0
172,6.0
173,0.0
174,0.0
175,2.0
176,0.0
177,3.0
178,4.0
179,6.0
180,7.0
181,7.0
182,2.0
183,2.0
184,4.0
185,7.0
186,1.0
187,7.0
188,6.0
189,4.0
190,3.0
191,4.0
192,5.0
193,2.0
194,5.0
195,7.0
196,0.0
197,4.0
198,8.0
199,3.0
200,4.0
201,7.0
202,5.0
203,5.0
204,0.0
205,3.0
206,2.0
207,2.0
208,2.0
209,0.0
210,4.0
211,0.0
212,0.0
213,0.0
214,8.0
215,8.0
216,4.0
217,0.0
218,0.0
219,7.0
220,7.0
221,0.0
222,0.0
223,7.0
224,7.0
225,7.0
226,3.0
227,7.0
228,3.0
229,5.0
230,6.0
231,5.0
232,8.0
233,4.0
234,1.0
235,4.0
236,2.0
237,5.0
238,0.0
239,2.0
240,3.0
241,6.0
242,8.0
243,7.0
244,2.0
245,5.0
246,1.0
247,7.0
248,2.0
249,7.0
250,2.0
251,7.0
252,0.0
253,8.0
254,7.0
255,1.0
256,3.0
257,3.0
258,3.0
259,0.0
260,2.0
261,2.0
262,4.0
263,7.0
264,3.0
265,7.0
266,0.0
267,2.0
268,5.0
269,5.0
270,8.0
271,7.0
272,6.0
273,3.0
274,0.0
275,0.0
276,1.0
277,2.0
278,6.0
279,2.0
280,0.0
281,3.0
282,6.0
283,2.0
284,0.0
285,8.0
286,7.0
287,2.0
288,0.0
289,8.0
290,2.0
291,2.0
292,1.0
293,7.0
294,5.0
295,3.0
296,2.0
297,8.0
298,0.0
299,3.0
300,0.0
301,7.0
302,4.0
303,2.0
304,2.0
305,0.0
306,7.0
307,7.0
308,8.0
309,1.0
310,3.0
311,3.0
312,1.0
313,8.0
314,4.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,2.0
321,1.0
322,5.0
323,2.0
324,0.0
325,8.0
326,6.0
327,2.0
328,2.0
329,1.0
330,2.0
331,2.0
332,2.0
333,1.0
334,3.0
335,0.0
336,6.0
337,8.0
338,1.0
339,3.0
340,2.0
341,3.0
342,4.0
343,0.0
344,4.0
345,5.0
346,7.0
347,3.0
348,5.0
349,0.0
350,2.0
351,0.0
352,5.0
353,8.0
354,5.0
355,1.0
356,8.0
357,2.0
358,2.0
359,2.0
360,2.0
361,2.0
362,2.0
363,0.0
364,3.0
365,8.0
366,1.0
367,2.0
368,0.0
369,0.0
370,3.0
371,8.0
372,8.0
373,1.0
374,2.0
375,8.0
376,6.0
377,2.0
378,4.0
379,2.0
380,3.0
381,2.0
382,8.0
383,3.0
384,4.0
385,1.0
386,0.0
387,8.0
388,4.0
389,4.0
390,2.0
391,0.0
392,4.0
393,4.0
394,2.0
395,2.0
396,8.0
397,7.0
398,2.0
399,2.0
400,4.0
401,7.0
402,0.0
403,7.0
404,7.0
405,4.0
406,5.0
407,2.0
408,0.0
409,4.0
410,2.0
411,3.0
412,4.0
413,8.0
414,0.0
415,0.0
416,0.0
417,0.0
418,4.0
419,4.0
420,0.0
421,0.0
422,4.0
423,7.0
424,8.0
425,4.0
426,5.0
427,0.0
428,0.0
429,7.0
430,0.0
431,2.0
432,5.0
433,0.0
434,4.0
435,6.0
436,2.0
437,0.0
438,4.0
439,2.0
440,2.0
441,3.0
442,2.0
443,1.0
444,5.0
445,5.0
446,6.0
447,2.0
448,0.0
449,2.0
450,1.0
451,4.0
452,4.0
453,1.0
454,0.0
455,3.0
456,8.0
457,4.0
458,7.0
459,5.0
460,4.0
461,4.0
462,2.0
463,1.0
464,3.0
465,4.0
466,3.0
467,1.0
468,3.0
469,6.0
470,4.0
471,7.0
472,6.0
473,7.0
474,1.0
475,3.0
476,0.0
477,2.0
478,4.0
479,2.0
480,6.0
481,1.0
482,5.0
483,7.0
484,6.0
485,0.0
486,8.0
487,2.0
488,3.0
489,7.0
490,1.0
491,0.0
492,8.0
493,0.0
494,0.0
495,2.0
496,5.0
497,5.0
498,2.0
499,3.0
500,2.0
501,1.0
502,2.0
503,2.0
504,4.0
505,3.0
506,4.0
507,4.0
508,5.0
509,4.0
510,0.0
511,3.0
512,4.0
513,5.0
514,4.0
515,4.0
516,2.0
517,3.0
518,6.0
519,2.0
520,3.0
521,8.0
522,0.0
523,7.0
524,0.0
525,3.0
526,3.0
527,2.0
528,3.0
529,0.0
530,4.0
531,0.0
532,4.0
533,1.0
534,2.0
535,7.0
536,2.0
537,2.0
538,0.0
539,2.0
540,7.0
541,4.0
542,5.0
543,0.0
544,3.0
545,0.0
546,1.0
547,7.0
548,3.0
549,0.0
550,0.0
551,4.0
552,0.0
553,8.0
554,5.0
555,0.0
556,2.0
557,1.0
558,0.0
559,7.0
560,6.0
561,5.0
562,5.0
563,0.0
564,0.0
565,1.0
566,3.0
567,0.0
568,3.0
569,2.0
570,2.0
571,6.0
572,4.0
573,3.0
574,8.0
575,2.0
576,5.0
577,0.0
578,0.0
579,5.0
580,2.0
581,0.0
582,1.0
583,8.0
584,5.0
585,5.0
586,1.0
587,2.0
588,0.0
589,8.0
590,8.0
591,1.0
592,2.0
593,2.0
594,0.0
595,3.0
596,2.0
597,3.0
598,6.0
599,2.0
600,4.0
601,5.0
602,4.0
603,4.0
604,2.0
605,0.0
606,1.0
607,1.0
608,5.0
609,1.0
610,5.0
611,4.0
612,7.0
613,5.0
614,2.0
615,1.0
616,0.0
617,5.0
618,1.0
619,4.0
620,1.0
621,5.0
622,6.0
623,3.0
624,2.0
625,7.0
626,5.0
627,2.0
628,4.0
629,2.0
630,3.0
631,0.0
632,3.0
633,0.0
634,0.0
635,1.0
636,4.0
637,3.0
638,0.0
639,5.0
640,0.0
641,0.0
642,6.0
643,6.0
644,3.0
645,2.0
646,2.0
647,2.0
648,1.0
649,0.0
650,0.0
651,2.0
652,3.0
653,1.0
654,6.0
655,2.0
656,5.0
657,7.0
658,7.0
659,5.0
660,8.0
661,5.0
662,3.0
663,4.0
664,7.0
665,4.0
666,2.0
667,7.0
668,7.0
669,8.0
670,3.0
671,2.0
672,7.0
673,3.0
674,4.0
675,4.0
676,7.0
677,2.0
678,7.0
679,8.0
680,7.0
681,2.0
682,2.0
683,4.0
684,7.0
685,4.0
686,0.0
687,2.0
688,3.0
689,4.0
690,2.0
691,7.0
692,2.0
693,0.0
694,0.0
695,3.0
696,2.0
697,3.0
698,4.0
699,0.0
700,2.0
701,4.0
702,0.0
703,3.0
704,2.0
705,8.0
706,7.0
707,2.0
708,8.0
709,0.0
710,4.0
711,8.0
712,8.0
713,0.0
714,4.0
715,5.0
716,0.0
717,0.0
718,4.0
719,2.0
720,4.0
721,3.0
722,2.0
723,0.0
724,5.0
725,2.0
726,0.0
727,0.0
728,2.0
729,2.0
730,2.0
731,3.0
732,2.0
733,8.0
734,4.0
735,3.0
736,3.0
737,0.0
738,8.0
739,0.0
740,2.0
741,4.0
742,7.0
743,3.0
744,3.0
745,0.0
746,2.0
747,7.0
748,5.0
749,0.0
750,7.0
751,3.0
752,1.0
753,7.0
754,3.0
755,7.0
756,4.0
757,1.0
758,8.0
759,4.0
760,7.0
761,0.0
762,0.0
763,1.0
764,7.0
765,2.0
766,3.0
767,7.0
768,2.0
769,0.0
770,4.0
771,3.0
772,2.0
773,5.0
774,5.0
775,2.0
776,2.0
777,0.0
778,5.0
779,5.0
780,3.0
781,2.0
782,0.0
783,2.0
784,2.0
785,4.0
786,4.0
787,2.0
788,5.0
789,7.0
790,0.0
791,0.0
792,2.0
793,3.0
794,5.0
795,4.0
796,8.0
797,0.0
798,1.0
799,0.0
800,1.0
801,0.0
802,0.0
803,3.0
804,0.0
805,4.0
806,3.0
807,2.0
808,0.0
809,0.0
810,5.0
811,8.0
812,7.0
813,2.0
814,2.0
815,2.0
816,0.0
817,0.0
818,6.0
819,2.0
820,0.0
821,3.0
822,5.0
823,0.0
824,7.0
825,2.0
826,3.0
827,4.0
828,7.0
829,3.0
830,4.0
831,2.0
832,2.0
833,1.0
834,7.0
835,2.0
836,4.0
837,2.0
838,2.0
839,4.0
840,2.0
841,0.0
842,2.0
843,2.0
844,2.0
845,0.0
846,0.0
847,2.0
848,0.0
849,8.0
850,1.0
851,0.0
852,4.0
853,0.0
854,8.0
855,5.0
856,0.0
857,4.0
858,4.0
859,2.0
860,2.0
861,0.0
862,1.0
863,5.0
864,4.0
865,7.0
866,2.0
867,3.0
868,0.0
869,2.0
870,0.0
871,2.0
872,2.0
873,2.0
874,8.0
875,0.0
876,4.0
877,5.0
878,2.0
879,2.0
880,2.0
881,1.0
882,5.0
883,4.0
884,1.0
885,5.0
886,3.0
887,4.0
888,0.0
889,7.0
890,1.0
891,7.0
892,2.0
893,8.0
894,0.0
895,1.0
896,1.0
897,2.0
898,7.0
899,8.0
900,0.0
901,6.0
902,4.0
903,0.0
904,2.0
905,4.0
906,0.0
907,0.0
908,3.0
909,8.0
910,3.0
911,8.0
912,5.0
913,3.0
914,0.0
915,1.0
916,4.0
917,0.0
918,2.0
919,0.0
920,4.0
921,5.0
922,7.0
923,0.0
924,4.0
925,1.0
926,8.0
927,2.0
928,0.0
929,2.0
930,5.0
931,3.0
932,2.0
933,2.0
934,2.0
935,5.0
936,0.0
937,0.0
938,4.0
939,0.0
940,7.0
941,7.0
942,8.0
943,5.0
944,4.0
945,6.0
946,0.0
947,0.0
948,4.0
949,2.0
950,8.0
951,4.0
952,2.0
953,8.0
954,4.0
955,5.0
956,8.0
957,5.0
958,4.0
959,4.0
960,5.0
961,8.0
962,5.0
963,0.0
964,5.0
965,5.0
966,2.0
967,3.0
968,0.0
969,2.0
970,4.0
971,3.0
972,6.0
973,2.0
974,7.0
975,5.0
976,1.0
977,3.0
978,4.0
979,1.0
980,0.0
981,2.0
982,2.0
983,2.0
984,0.0
985,0.0
986,1.0
987,4.0
988,7.0
989,7.0
990,2.0
991,2.0
992,5.0
993,4.0
994,4.0
995,5.0
996,1.0
997,2.0
998,0.0
999,0.0
1000,2.0
1001,3.0
1002,1.0
1003,8.0
1004,2.0
1005,5.0
1006,3.0
1007,0.0
1008,8.0
1009,5.0
1010,2.0
1011,2.0
1012,3.0
1013,7.0
1014,5.0
1015,0.0
1016,5.0
1017,1.0
1018,0.0
1019,1.0
1020,4.0
1021,3.0
1022,3.0
1023,6.0
1024,0.0
1025,3.0
1026,7.0
1027,3.0
1028,1.0
1029,5.0
1030,4.0
1031,5.0
1032,3.0
1033,0.0
1034,5.0
1035,2.0
1036,4.0
1037,0.0
1038,3.0
1039,4.0
1040,0.0
1041,1.0
1042,4.0
1043,7.0
1044,3.0
1045,2.0
1046,4.0
1047,8.0
1048,4.0
1049,1.0
1050,2.0
1051,0.0
1052,2.0
1053,1.0
1054,7.0
1055,4.0
1056,2.0
1057,2.0
1058,5.0
1059,8.0
1060,5.0
1061,4.0
1062,2.0
1063,3.0
1064,3.0
1065,2.0
1066,5.0
1067,2.0
1068,5.0
1069,8.0
1070,4.0
1071,7.0
1072,1.0
1073,3.0
1074,3.0
1075,7.0
1076,7.0
1077,0.0
1078,1.0
1079,2.0
1080,4.0
1081,5.0
1082,4.0
1083,0.0
1084,5.0
1085,0.0
1086,5.0
1087,1.0
1088,3.0
1089,1.0
1090,0.0
1091,1.0
1092,5.0
1093,1.0
1094,6.0
1095,4.0
1096,2.0
1097,2.0
1098,3.0
1099,3.0
1100,6.0
1101,7.0
1102,1.0
1103,5.0
1104,7.0
1105,0.0
1106,0.0
1107,5.0
1108,7.0
1109,4.0
1110,4.0
1111,2.0
1112,1.0
1113,6.0
1114,0.0
1115,4.0
1116,4.0
1117,2.0
1118,2.0
1119,6.0
1120,0.0
1121,1.0
1122,0.0
1123,3.0
1124,4.0
1125,8.0
1126,1.0
1127,1.0
1128,4.0
1129,4.0
1130,4.0
1131,0.0
1132,6.0
1133,1.0
1134,2.0
1135,6.0
1136,3.0
1137,4.0
1138,2.0
1139,4.0
1140,3.0
1141,5.0
1142,5.0
1143,3.0
